"1","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Blank","Overvote"
"District 40  - Question","23","0","0","2","0","0","10","3","0","3","0","6","0","2","11","1","0","0","2","0","0","1","0","0","3","2","0","4","2","2","0","0","0","0","2","0","1","0","0","0","1","0","4","2","5","0","4","6","1","0","1","0","0","1","2","0","2","0"
"District 5 - Absentee","323","4","0","13","9","0","159","28","0","73","21","13","0","29","115","7","0","1","11","0","3","3","0","4","272","35","0","66","25","36","3","0","9","0","0","0","2","0","1","9","0","0","149","23","15","0","12","277","40","0","72","0","11","11","9","0","23","1"
"District 5 - Early Voting","6","0","0","0","1","0","3","0","0","1","0","0","0","1","5","1","0","0","0","0","0","0","0","0","5","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","5","2","0","2","0","0","0","1","0","1","0"
"District 5  - Question","45","1","0","2","1","0","15","3","0","4","7","0","0","6","7","0","0","2","3","0","0","0","0","1","11","4","0","5","2","5","1","0","2","0","1","0","0","0","0","0","0","0","8","2","1","0","2","3","7","0","9","0","0","2","2","0","2","0"
"District 6 - Absentee","323","10","0","7","3","0","267","23","1","59","13","9","0","11","166","7","0","0","3","0","6","3","0","2","421","60","0","82","57","64","3","0","15","2","1","0","2","1","5","6","2","0","65","13","6","0","3","169","32","0","44","0","9","10","4","0","17","1"
"District 6 - Early Voting","264","5","0","5","5","0","222","19","0","39","15","14","0","10","112","9","0","6","5","0","3","1","0","6","484","66","2","71","25","74","1","0","11","1","0","0","1","0","7","2","0","0","83","6","8","0","3","204","30","0","33","0","3","3","8","0","8","2"
"District 6  - Question","33","0","0","1","0","0","36","4","0","8","1","0","0","0","18","0","0","0","0","0","0","1","0","2","14","1","0","9","13","11","0","0","1","0","0","0","0","0","1","0","0","0","11","1","0","0","0","11","1","0","4","0","0","1","2","0","2","1"
"District 7 - Absentee","502","7","0","7","6","0","294","39","0","68","37","16","0","33","76","9","0","0","18","0","3","2","0","2","176","56","0","25","51","84","2","0","9","2","1","0","0","0","5","3","2","0","79","22","13","0","8","101","34","0","18","0","3","1","6","0","13","4"
"District 7 - Early Voting","251","4","0","3","7","1","157","14","0","26","11","9","0","16","32","3","0","1","6","0","0","0","0","0","64","20","0","10","14","51","3","0","2","1","0","0","0","1","1","1","1","0","36","8","8","0","5","62","23","0","4","0","1","1","1","0","10","1"
"District 7  - Question","34","3","0","0","1","1","17","1","0","6","2","4","0","1","3","2","0","1","1","0","0","0","0","0","11","1","0","6","4","10","1","0","1","0","0","0","0","0","0","0","0","0","5","1","4","0","2","1","1","0","1","0","0","1","1","0","0","0"
"District 8 - Absentee","532","14","0","16","10","2","359","30","2","81","37","12","0","17","81","11","1","2","11","0","2","1","0","4","199","72","1","44","43","68","7","0","16","0","1","0","1","0","3","5","0","0","59","17","10","0","7","101","30","0","34","0","6","5","4","0","8","0"
"District 8 - Early Voting","277","8","0","8","10","0","206","5","0","23","17","6","0","5","31","4","0","1","7","0","1","0","0","1","75","18","0","7","18","40","2","0","9","0","2","0","0","0","1","2","0","0","21","5","7","0","3","49","16","0","6","0","0","1","1","0","9","0"
"District 8  - Question","25","0","0","0","2","0","22","2","0","6","2","0","0","5","1","0","0","0","0","0","0","0","0","0","1","2","0","1","8","4","0","0","2","0","1","0","0","0","0","0","0","0","4","1","0","0","1","2","1","0","0","0","1","0","0","0","1","1"
"District 9 - Absentee","411","13","0","10","11","0","278","30","1","94","58","19","0","29","172","8","0","2","11","0","5","2","0","7","556","78","0","124","7","31","0","0","6","0","2","0","0","0","1","2","0","0","79","29","9","0","12","298","77","0","67","0","5","5","7","0","13","2"
"District 9 - Early Voting","213","8","0","8","8","2","260","14","0","49","32","15","0","11","55","5","0","0","3","0","1","2","0","3","254","31","0","56","2","29","3","0","2","0","0","0","1","0","0","0","0","0","51","20","17","0","6","196","33","0","42","0","3","2","3","0","3","2"
"District 9  - Question","39","1","0","2","1","0","31","4","0","9","1","2","0","3","17","0","0","2","0","0","1","1","0","1","14","5","0","8","3","3","0","0","1","0","0","0","0","0","0","1","1","0","14","1","3","0","2","12","6","0","2","0","0","2","0","0","2","0"
"House District 30 - Judicial District 3","470","12","0","12","1","0","287","22","0","54","18","5","0","20","78","19","0","4","5","0","7","3","0","8","178","24","0","44","19","33","5","0","7","0","0","0","2","0","1","4","1","0","73","9","3","0","1","119","16","0","22","0","2","2","1","0","15","8"
"House District 30 - Judicial District 4","53","0","0","1","0","1","33","3","0","10","3","0","0","5","26","1","0","1","1","0","0","1","0","2","69","5","0","25","4","2","1","0","0","0","0","0","0","0","0","0","0","0","6","1","1","0","0","26","2","0","13","0","0","0","0","0","5","0"
"House District 36 - Judicial District 3","127","0","0","1","3","0","84","5","0","16","12","3","0","7","23","1","0","0","0","0","0","0","0","1","54","7","0","14","5","3","1","0","2","1","0","0","1","0","1","1","0","0","28","2","5","0","3","37","2","0","6","0","0","1","0","0","3","0"
"House District 36 - Judicial District 4","309","11","0","5","2","0","176","22","1","47","23","12","1","10","50","4","0","0","5","0","0","4","0","8","111","16","0","26","10","23","4","0","8","1","2","0","0","0","0","1","0","0","82","12","14","0","3","105","14","0","33","0","0","1","6","0","10","3"
"House District 37 - Judicial District 3","124","2","0","15","11","0","65","13","1","35","7","7","0","10","69","1","0","4","1","1","1","6","0","6","67","11","0","39","7","5","0","0","3","0","3","0","1","0","1","3","2","0","76","8","7","0","6","57","12","0","26","0","1","4","7","0","8","1"
"House District 37 - Judicial District 4","7","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","2","0","0","0","0","0","1","0"
"House District 39 - Judicial District 2","26","1","0","1","0","0","11","1","0","12","4","1","0","3","15","2","0","0","0","0","0","0","0","0","22","2","0","8","1","1","0","0","2","0","0","0","0","0","0","0","1","0","19","0","5","0","1","20","5","0","6","0","1","0","2","0","1","0"
"House District 39 - Judicial District 4","2","0","0","0","2","0","1","1","0","1","0","3","0","1","4","0","0","0","0","0","0","2","0","0","2","1","0","2","1","0","0","0","0","0","0","0","0","0","0","2","0","0","8","1","0","0","1","5","1","0","1","0","0","1","0","0","0","0"
"Total","58227","1597","15","2596","1832","72","40961","5827","43","10594","4181","2842","16","3982","14358","1355","7","918","1664","26","452","676","6","1270","28741","5922","22","8672","3211","5133","561","11","1440","128","266","1","251","19","314","553","272","3","12058","2444","2402","5","1754","21918","4851","12","6911","24","611","910","1092","4","2364","296"
